MoS2 F1,,MoS2 F2,,MoS2 F3,,MoS2 F4,,MoS2 F5,,MoS2 F6,,MoS2 F7,
Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext
677,7.77043,677,10.86072,677,19.61983,677,27.5067,677,41.20804,677,46.85036,677,48.93621
676,8.124,676,11.36671,676,20.47126,676,28.44143,676,41.96555,676,47.07188,676,48.9831
675,8.49888,675,11.83227,675,21.28104,675,29.2899,675,42.61841,675,47.18387,675,48.92469
674,8.93757,674,12.36603,674,22.05339,674,30.14673,674,43.103,674,47.23452,674,48.74494
673,9.30222,673,12.88714,673,22.72692,673,30.84148,673,43.39325,673,47.11195,673,48.4055
672,9.67034,672,13.33513,672,23.37745,672,31.33877,672,43.47183,672,46.80003,672,48.02297
671,10.12472,671,13.84429,671,23.96149,671,31.78487,671,43.48081,671,46.46353,671,47.58419
670,10.55649,670,14.2435,670,24.38021,670,32.13038,670,43.39949,670,46.09712,670,47.04556
669,10.90747,669,14.59925,669,24.67526,669,32.30962,669,43.2049,669,45.61668,669,46.4986
668,11.25455,668,15.00005,668,25.00045,668,32.41036,668,42.92587,668,45.13464,668,45.97653
667,11.62915,667,15.27722,667,25.25976,667,32.47335,667,42.5493,667,44.64983,667,45.43749
666,11.92525,666,15.47855,666,25.21828,666,32.34574,666,42.10301,666,44.10207,666,44.85486
665,12.17254,665,15.66362,665,25.17042,665,32.12843,665,41.64286,665,43.55966,665,44.32137
664,12.40268,664,15.75832,664,25.09756,664,31.89158,664,41.16201,664,43.03594,664,43.77246
663,12.62908,663,15.86783,663,25.01459,663,31.65696,663,40.76973,663,42.60445,663,43.35209
662,12.77511,662,15.94655,662,24.85673,662,31.37892,662,40.3379,662,42.20544,662,42.93161
661,12.832,661,15.92382,661,24.60581,661,31.00371,661,39.86379,661,41.79126,661,42.45653
660,12.93008,660,15.84812,660,24.43941,660,30.65357,660,39.4332,660,41.41041,660,42.11822
659,12.93569,659,15.71083,659,24.11406,659,30.29852,659,39.04478,659,41.05853,659,41.86125
658,12.94635,658,15.63153,658,23.86765,658,30.03435,658,38.75378,658,40.82782,658,41.63194
657,12.92518,657,15.5318,657,23.66551,657,29.76048,657,38.41637,657,40.60075,657,41.43841
656,12.83171,656,15.37623,656,23.3759,656,29.45587,656,38.13934,656,40.34482,656,41.25311
655,12.76201,655,15.23836,655,23.18153,655,29.16961,655,37.95835,655,40.20548,655,41.07932
654,12.70152,654,15.11949,654,22.96448,654,28.93753,654,37.78622,654,40.14895,654,41.02729
653,12.72687,653,15.04135,653,22.81641,653,28.83186,653,37.70402,653,40.07949,653,41.03583
652,12.64017,652,14.92852,652,22.6048,652,28.64889,652,37.58652,652,40.00074,652,40.97588
651,12.56657,651,14.84361,651,22.51064,651,28.5574,651,37.52727,651,40.04017,651,41.02544
650,12.54022,650,14.79325,650,22.51686,650,28.51874,650,37.52977,650,40.12309,650,41.1256
649,12.48607,649,14.72877,649,22.4502,649,28.46681,649,37.58515,649,40.23807,649,41.25023
648,12.39274,648,14.65797,648,22.34921,648,28.3883,648,37.63093,648,40.37431,648,41.36715
647,12.38108,647,14.64617,647,22.28846,647,28.3989,647,37.72073,647,40.55608,647,41.56859
646,12.36264,646,14.63005,646,22.34051,646,28.52994,646,37.88052,646,40.72492,646,41.7906
645,12.33729,645,14.57119,645,22.42566,645,28.6065,645,38.03993,645,40.94814,645,42.06321
644,12.38338,644,14.56126,644,22.47926,644,28.68411,644,38.27555,644,41.2201,644,42.36975
643,12.38684,643,14.62271,643,22.58258,643,28.81694,643,38.56992,643,41.48521,643,42.60975
642,12.39937,642,14.69092,642,22.68373,642,29.04066,642,38.81128,642,41.80782,642,42.9093
641,12.43897,641,14.76346,641,22.79031,641,29.25274,641,39.09106,641,42.12134,641,43.19095
640,12.48592,640,14.83009,640,22.89301,640,29.40453,640,39.44505,640,42.38913,640,43.52135
639,12.48693,639,14.9137,639,23.07137,639,29.55437,639,39.74055,639,42.73546,639,43.89771
638,12.6465,638,15.05056,638,23.32758,638,29.92614,638,40.11712,638,43.14697,638,44.29618
637,12.7705,637,15.1949,637,23.52319,637,30.26777,637,40.55032,637,43.52097,637,44.69608
636,12.84136,636,15.30341,636,23.68074,636,30.53522,636,40.9002,636,43.87703,636,45.02021
635,12.93627,635,15.38386,635,23.90664,635,30.85521,635,41.29997,635,44.25103,635,45.38258
634,13.02499,634,15.53712,634,24.15244,634,31.1534,634,41.73966,634,44.64983,634,45.72172
633,13.25283,633,15.72853,633,24.49612,633,31.52622,633,42.22337,633,45.06839,633,46.1389
632,13.48599,632,15.92238,632,24.81929,632,32.00053,632,42.69462,632,45.48899,632,46.54755
631,13.57341,631,16.09291,631,25.11138,631,32.3923,631,43.15289,631,45.86342,631,46.86232
630,13.80111,630,16.33857,630,25.44092,630,32.85527,630,43.68949,630,46.25431,630,47.24382
629,13.99525,629,16.52882,629,25.76813,629,33.25928,629,44.17171,629,46.6281,629,47.58594
628,14.19227,628,16.77923,628,26.16215,628,33.67284,628,44.64508,628,46.99248,628,47.88846
627,14.44992,627,16.99653,627,26.57575,627,34.20193,627,45.14239,627,47.38829,627,48.26606
626,14.73508,626,17.25126,626,26.97116,626,34.68832,626,45.62162,626,47.76539,626,48.59933
625,14.94995,625,17.56153,625,27.4191,625,35.20531,625,46.11432,625,48.09003,625,48.87852
624,15.14654,624,17.81927,624,27.78282,624,35.65216,624,46.55825,624,48.43304,624,49.0885
623,15.39512,623,18.09227,623,28.2236,623,36.12975,623,46.99444,623,48.68683,623,49.34938
622,15.68272,622,18.36974,622,28.66858,622,36.63809,622,47.50136,622,48.97556,622,49.58353
621,15.96255,621,18.69325,621,29.08218,621,37.19896,621,47.94803,621,49.25564,621,49.75772
620,16.22913,620,18.9792,620,29.51053,620,37.6761,620,48.35566,620,49.46711,620,49.89675
619,16.52279,619,19.27019,619,30.02729,619,38.19981,619,48.73423,619,49.63274,619,50.0149
618,16.81616,618,19.60263,618,30.52821,618,38.69591,618,49.15021,618,49.80478,618,50.08986
617,17.1464,617,19.94398,617,30.96371,617,39.15275,617,49.46429,617,49.93793,617,50.17933
616,17.38028,616,20.2331,616,31.32681,616,39.53423,616,49.66624,616,49.99371,616,50.1602
615,17.65291,615,20.55863,615,31.72005,615,39.96018,615,49.87791,615,50.00354,615,50.09912
614,17.90855,614,20.77565,614,32.13349,614,40.26688,614,50.0135,614,49.98067,614,50.00945
613,18.17282,613,21.04145,613,32.47562,613,40.58239,613,50.12401,613,49.93451,613,49.87412
612,18.38813,612,21.33647,612,32.79009,612,40.86298,612,50.23677,612,49.86762,612,49.74929
611,18.62188,611,21.53694,611,33.06043,611,41.08506,611,50.19848,611,49.73073,611,49.57304
610,18.86354,610,21.77454,610,33.24952,610,41.25445,610,50.14147,610,49.58049,610,49.35894
609,19.02239,609,21.94954,609,33.46362,609,41.41952,609,50.06464,609,49.36923,609,49.16768
608,19.15259,608,22.07503,608,33.49127,608,41.41832,608,49.86244,608,49.09076,608,48.90063
607,19.23482,607,22.16123,607,33.55109,607,41.38265,607,49.66599,607,48.80266,607,48.58473
606,19.33319,606,22.20354,606,33.60469,606,41.31982,606,49.45095,606,48.52879,606,48.26791
605,19.39008,605,22.2552,605,33.53151,605,41.22221,605,49.19212,605,48.2781,605,47.99037
